SubjectGroup,Attractive, Warm, Trustworthy, Dominant, Kind, Possibly Unfaithful, Datable, ParticipantGender, ProfileGender, Participant RelationshipStatus,
1,9,7,5,3,6,6,10,female,,in a realtionship,M099762
1,5,1,1,8,2,9,1,female,,single,M019888
1,6,7,7,3,7,3,3,female,,married,M080138
1,6,7,6,5,8,5,6,female,,single,M031928
1,8,5,5,7,5,7,8,female,,in a relationship,M071496
1,7,4,5,7,5,3,8,female,,single,M014027
1,6,6,7,5,6,7,4,female,,single,M007635
1,6,6,5,5,6,5,5,female,,in relationship,M024343
1,0,1,0,3,2,3,1,female,,single,M095133
1,4,3,5,4,5,4,3,female,,in a relationship,M012723
1,3,4,4,5,5,4,1,female,,single,M051183
1,7,6,6,5,6,5,3,female,,single,M035720
1,0,1,0,0,0,0,2,female,,married,M089297
1,6,5,5,5,5,5,2,female,,married,M053874
1,6,6,6,6,6,5,5,female,,married,M032788
1,4,2,3,5,1,8,4,female,,single,M023802
1,4,5,5,5,4,6,2,female,,married,M015981
1,0,6,7,1,7,0,0,female,,single,M051306
1,6,2,2,6,2,10,0,female,,single,M003595
1,2,3,1,1,5,7,0,female,,single,M017130
1,8,6,5,8,5,8,8,female,,married,M018657
1,6,6,5,8,6,4,8,female,,single,M030351
1,3,4,3,4,3,5,6,female,,married,M012411
1,6,3,4,7,4,5,5,female,,married,M007207
1,6,6,5,6,4,6,3,female,,married,M047399
1,1,5,4,5,4,5,1,female,,in a relationship,M075165
2,5,4,6,7,6,4,5,female,,married,M079006
2,4,2,2,4,2,1,3,female,,married,M074129
2,2,1,3,3,3,1,0,female,,single,M003194
2,2,2,3,4,4,7,4,female,,married,M019518
2,2,5,3,3,4,3,4,female,,cohabiting,M069091
2,7,5,6,5,5,3,5,female,,married,M081172
2,4,3,5,7,4,5,3,female,,in a monogamous relationship,M077635
2,6,7,8,6,8,1,5,female,,living together,M015037
2,5,5,6,4,7,2,8,female,,married,M083438
2,2,7,7,3,6,9,4,female,,married,M080089
2,0,3,3,2,3,2,0,female,,single,M053004
2,7,6,5,4,6,6,6,female,,single,M036729
2,6,5,5,5,5,5,5,female,,engaged,M083348
2,4,3,3,6,5,5,4,female,,in a relationship,M069625
2,7,8,8,9,6,9,4,female,,single,M028087
2,5,4,4,5,4,6,1,female,,engaged,M006444
2,2,3,4,6,4,3,5,female,,living with partner,M061893
2,8,6,5,6,5,5,6,female,,married,M078144
2,3,4,4,7,3,1,0,female,,cohabiting,M012920
2,3,3,2,8,3,5,4,female,,in a relationship,M063715
2,1,1,1,1,1,1,3,female,,married,M047120
2,5,6,6,4,5,3,6,female,,single,M045912
2,5,2,3,5,3,5,7,female,,maried,M026068
2,8,7,9,5,8,4,8,female,,single,M040693
